time,number,latitude,longitude,cape,tcw,sshf,slhf,u10,v10,t2m,d2m,ssr,str,cin,sm,st,tcc,tp,mx2t6,mn2t6
2023-04-29 00:00:00,46,50.75,4.25,0.0,14.569026,158.0,-2.0,2.080429,-1.268728,282.22662,281.04947,0.0,0.0,,395.03577,284.73962,82.49511,0.0,,
2023-04-29 00:00:00,47,50.75,4.25,11.383148,15.503147,158.0,-2.0,2.5780277,-1.0792396,282.7533,282.2954,0.0,0.0,,382.75317,284.60153,98.203384,0.0,,
2023-04-29 00:00:00,48,50.75,4.25,1.6090851,13.950293,158.0,-2.0,3.1812942,-1.4533361,282.13452,281.0374,0.0,0.0,,388.41104,284.4762,74.49143,0.0,,
2023-04-29 00:00:00,49,50.75,4.25,3.259552,15.194641,158.0,-2.0,2.8940701,-2.1096432,282.55566,281.96707,0.0,0.0,,403.91846,284.60718,93.8849,0.0,,
2023-04-29 00:00:00,50,50.75,4.25,1.3056488,14.607128,158.0,-2.0,3.037202,-1.6209335,281.33722,281.01904,0.0,0.0,,388.82086,284.43774,76.090645,0.0,,
2023-04-29 06:00:00,1,50.75,4.25,0.62983704,13.335248,5378.0,-260708.0,1.0275949,-2.4836001,280.98853,278.9724,253520.0,-619685.0,,377.25842,283.31274,44.85722,0.022375107,282.1207,280.58188
2023-04-29 06:00:00,2,50.75,4.25,3.089447,13.472908,-46821.0,-295230.0,1.7296445,-2.7179856,281.3698,279.35068,178456.0,-343313.0,,363.24503,283.63104,99.999435,0.029584885,282.61035,281.32736
2023-04-29 06:00:00,3,50.75,4.25,3.1538086,12.672267,58273.0,-289278.0,1.0586548,-3.4727318,280.71872,278.43036,228028.0,-617294.0,,384.8659,283.1868,99.999435,0.022127151,282.5001,280.5427
2023-04-29 06:00:00,4,50.75,4.25,3.3239136,13.41096,-35685.0,-318444.0,0.9123211,-2.6394854,280.6918,278.70264,126052.0,-382043.0,,401.6187,283.22534,99.999435,0.115356445,282.38754,280.5312
2023-04-29 06:00:00,5,50.75,4.25,2.0274506,13.75339,-32901.0,-289872.0,0.6646425,-2.8631344,280.84042,278.9634,128884.0,-402604.0,,391.42102,283.3711,99.999435,0.06513691,282.352,280.5814
2023-04-29 06:00:00,6,50.75,4.25,2.110199,13.811158,1550.0,-272016.0,0.42929178,-3.265396,280.71738,278.75754,137384.0,-494409.0,,386.00784,283.16852,99.999435,0.056435585,282.3167,280.54318
2023-04-29 06:00:00,7,50.75,4.25,2.5515442,13.26691,-57956.0,-266064.0,1.0797884,-2.9176526,280.88837,278.82584,161460.0,-445637.0,,407.00803,283.43845,99.999435,0.05693245,281.6903,280.76538
2023-04-29 06:00:00,8,50.75,4.25,2.3906403,12.849996,-10630.0,-279158.0,0.57322395,-3.183968,280.53293,278.41812,154380.0,-508275.0,,392.9031,283.2267,99.999435,0.04997158,281.83893,280.41586
2023-04-29 06:00:00,9,50.75,4.25,3.222763,13.415877,20342.0,-245826.0,1.1218953,-2.9696608,280.94247,278.82086,223780.0,-577607.0,,393.7506,283.10892,95.82898,0.04450226,281.70035,280.57214
2023-04-29 06:00:00,10,50.75,4.25,2.5561523,14.278465,6770.0,-291064.0,1.3817418,-2.7085042,281.23462,279.26035,137384.0,-404995.0,,408.22552,283.46237,99.999435,0.011187553,282.5122,281.0602
2023-04-29 06:00:00,11,50.75,4.25,4.9927673,13.628021,45049.0,-270230.0,0.8665318,-2.7521467,280.86008,278.7742,232276.0,-554656.0,,403.52853,282.98944,99.999435,0.015911102,281.29956,280.46155
2023-04-29 06:00:00,12,50.75,4.25,2.7860107,13.690951,-49257.0,-272016.0,0.91664386,-2.5906842,280.9053,278.75333,162876.0,-432727.0,,380.59665,283.329,99.999435,0.08030224,282.1408,280.7329
2023-04-29 06:00:00,13,50.75,4.25,0.8643036,13.794688,-40557.0,-305944.0,1.1311812,-2.8247907,280.93655,278.99765,140216.0,-469067.0,,394.3932,283.4288,99.999435,0.064391136,282.34763,280.46527
2023-04-29 06:00:00,14,50.75,4.25,4.3629303,13.625563,67320.0,-259516.0,0.49685505,-3.7348642,281.0631,279.06674,147296.0,-549396.0,,393.81824,283.33966,99.999435,0.058423996,282.57376,280.88422
2023-04-29 06:00:00,15,50.75,4.25,2.919342,13.609093,4334.0,-285112.0,1.4710789,-2.713245,281.05692,278.80634,215280.0,-539833.0,,393.3766,283.44547,95.897644,0.02709961,282.54852,280.88547
2023-04-29 06:00:00,16,50.75,4.25,4.2801666,13.410223,-20025.0,-308920.0,0.97892374,-3.2872872,281.35822,279.24295,165708.0,-357179.0,,382.5761,283.67584,99.999435,0.032071114,282.6016,281.36578
