,forecast_date,target,horizon,q0.025,q0.25,q0.5,q0.75,q0.975
24,2023-04-15,wind,30 hour,1.5633016837586142,1.9599584473429932,2.1339646564947126,2.299691192022057,2.5234431537964657
25,2023-04-15,wind,36 hour,1.4846899956198139,1.8179567688589349,1.9827039667872475,2.140310480045549,2.331097505677681
26,2023-04-15,wind,42 hour,1.4592403273265229,1.7400761360497317,1.9580957653321232,2.15425910518211,3.2840380515151395
27,2023-04-15,wind,48 hour,1.026404208570642,1.8971844072426476,2.0370145746237602,2.4998308879934967,3.073887177878257
28,2023-04-15,wind,54 hour,2.4560933375273093,2.8937222540042984,3.033546273698827,3.1369226410754454,3.321401702876362
29,2023-04-15,wind,60 hour,2.724825205804326,2.9395501182671557,3.0138856510811887,3.1140736812861465,3.2450808021838364
30,2023-04-15,wind,66 hour,2.165744302400147,2.7283283581834876,2.9317698435589272,3.04756990992552,3.1436505254730096
31,2023-04-15,wind,72 hour,2.073747571515026,2.4534218910617245,2.5773427585181077,2.7345483290531862,2.859055071279399
32,2023-04-15,wind,78 hour,1.504188457255509,1.971426197444179,2.1501002518696186,2.299691192022057,2.5234431537964657
33,2023-04-15,wind,84 hour,1.5306451788404916,1.8516818803351869,2.01904786603696,2.177337930674411,2.331097505677681
34,2023-04-15,wind,90 hour,1.4592403273265229,1.764379998344142,1.9867268225401604,2.237289984962632,3.2840380515151395
35,2023-04-15,wind,96 hour,1.026404208570642,1.906733701137465,2.1932940107470946,2.522251236812944,3.073887177878257
36,2023-04-15,wind,102 hour,2.4560933375273093,2.929073950181559,3.033546273698827,3.1369226410754454,3.321401702876362
37,2023-04-15,wind,108 hour,2.724825205804326,2.9427559989486385,3.018755831849832,3.1226707296264014,3.2450808021838364
38,2023-04-15,wind,114 hour,2.2156563545236003,2.747467119243353,2.942350544411126,3.0534331127701275,3.1436505254730096
39,2023-04-15,wind,0 hour,2.239273328304699,2.491703512004921,2.6212459912400616,2.7463187007692875,2.859055071279399
40,2023-04-15,precip,6 hour,0.20942907113870288,0.47848269408513344,0.5114475719850332,0.5866753096289896,0.7286116333868935
41,2023-04-15,precip,12 hour,0.5689469668393511,0.5960933333887334,0.6160170621848325,0.6334235731708399,0.6555272577302297
42,2023-04-15,precip,18 hour,0.5923261624819312,0.6138099183108755,0.6353106128016751,0.6692381363839619,0.7389780354822749
43,2023-04-15,precip,24 hour,0.6576089183405059,0.7305648433160996,0.7502905331823643,0.7804795027527787,0.8502273130750045
44,2023-04-15,precip,30 hour,0.6917423865583592,0.7833027034777031,0.8328716869897637,0.8719879595331599,0.9375135597491263
45,2023-04-15,precip,36 hour,0.801386176312286,0.8414719566691569,0.8871094672146891,0.9242561850409026,0.9691077244814916
46,2023-04-15,precip,42 hour,-0.17325783749591345,0.5959341237546371,0.654755132547988,0.7532191341654981,0.9000790333709295
47,2023-04-15,precip,48 hour,-0.058731751434364335,0.35688707773136846,0.47192731311478414,0.6444601613799772,1.2881286837201933
48,2023-04-15,precip,54 hour,0.20942907113870288,0.47848269408513344,0.5096905367983993,0.5866753096289896,0.7286116333868935
49,2023-04-15,precip,60 hour,0.5689469668393511,0.5960933333887334,0.6134588894136088,0.6334235731708399,0.6584683072947469
50,2023-04-15,precip,66 hour,0.5923261624819312,0.612866699540042,0.6353106128016751,0.6692381363839619,0.7399742537999078
51,2023-04-15,precip,72 hour,0.6576089183405059,0.7244181028928999,0.7502905331823643,0.7804795027527787,0.8502273130750045
52,2023-04-15,precip,78 hour,0.6917423865583592,0.7833027034777031,0.8328716869897637,0.8683242191603391,0.9375135597491263
53,2023-04-15,precip,84 hour,0.7838406892499414,0.8391205218379738,0.8742250092610271,0.9111050668016265,0.9505828220614672
